,Tickers,Beta,Alpha,StderrA,StderrB,AnnLogReturns,CAPM,ADJ CAPM,Sharpe
107,PGR,0.714373846160501,0.0005481334950129145,0.00037807466618046203,0.028643438436360694,0.19501150894705122,0.05224100400046718,0.05227948297181709,10.088448274533393
108,EOG,1.1646519779216484,-0.0002620450268049367,0.0007360661458022479,0.055765348007508264,-0.06394019495508185,0.08385052885009973,0.08383213328921803,-3.0973992424120897
109,TGT,0.8022776046919355,0.0006150412983747879,0.0005285655324494225,0.040044826174813496,0.19486225796384637,0.05841184784937389,0.0584550237485198,7.674480180259363
110,PNC,1.152926006018922,-0.00018245145308937145,0.00040837622554161583,0.03093912478544988,0.017754697668751263,0.08302736562252834,0.08301455753052145,-0.5738334879797636
111,REGN,0.6695388532990224,-5.228313802754443e-05,0.0005136446963997476,0.038914403834894286,0.004704804288940823,0.04909358750159139,0.04908991722530184,-1.2407645040383461
112,D,0.613083466836317,-3.854609045542357e-05,0.0003854014244613741,0.02919852336674645,0.022105311824171636,0.045130419371909467,0.04512771343635949,-0.484912855481272
113,CSX,1.0708419662935054,0.00017296949529438494,0.0003621663700792211,0.027438204812519327,0.11427641779940201,0.07726506603380409,0.07727720849237375,4.4267342122073625
114,TFC,1.211202160804201,-0.00034424861585307537,0.0004787341806984444,0.03626953683712887,-0.030029288520365016,0.08711835168845493,0.08709418543562203,-2.5677178594490515
115,WM,0.6847838570344275,0.00042983456883848747,0.00029462926958646586,0.022321504453624692,0.16764744575753765,0.05016378676381682,0.05019396115054928,9.986283244248709
116,MU,1.5071859773241847,5.2920310143071525e-05,0.0006373993661875039,0.04829022184748168,0.05596737610961866,0.10789641560815778,0.10790013061392982,0.8697510943754645
117,ATVI,0.7205137964598807,-6.032108534744327e-05,0.0005655789622267099,0.042849012733661755,-0.0025453564345088164,0.052672028511483636,0.052667793971292245,-1.458632205002948
118,GD,0.8395978428798401,-0.00014175344642013417,0.00033531808955749665,0.025404143451002226,0.01801423567661886,0.06103172857016479,0.06102177747822609,-0.7256665534130814
119,FDX,1.1093654445132508,-0.00031212018571400015,0.00048610693036417994,0.03682810613586203,-0.028266755345460415,0.07996941420483022,0.07994750336779309,-2.5694503993425855
120,EW,1.0194747907374488,0.00036673742135620005,0.00043294761741272445,0.03280068604123593,0.15657850255626382,0.07365909030976893,0.07368483527674811,6.215087266647515
121,FISV,1.054461683107947,6.590476525399987e-06,0.00036107907087537153,0.027355829581927966,0.06757677990993827,0.07611517015417789,0.07611563280562998,1.9990124687774988
122,HUM,0.899448424540225,0.00018819726577886645,0.00048033314706698993,0.03639067665112895,0.08937112243488166,0.06523323940272381,0.06524645085078148,2.8717294062582663
123,LRCX,1.6269693055287942,0.0003995276187226039,0.0005669733949869529,0.042954656810069144,0.17307761302741165,0.11630520524812138,0.11633325208695569,4.874165686630338
124,EQIX,0.7900159507718071,9.914975439294131e-05,0.00042682084897237874,0.03233651393362607,0.06633453571915471,0.05755107974418087,0.05755804005693925,1.9895083380072658
125,SHW,0.8814296204529045,0.00029063524697635264,0.0003888445602760579,0.029459379905303437,0.1309029464022904,0.06396831935579392,0.06398872195013164,5.608631315450986
126,NSC,1.0740846732422835,0.00025321084255479977,0.0003725859717659838,0.028227607663710977,0.13598645474396687,0.07749270406160833,0.07751047946275567,5.483540656539512
127,FIS,1.0429679380970283,-0.0003295611317648301,0.00036132616705244363,0.02737454991621359,-0.019647129904283078,0.0753083092544114,0.07528517406296151,-2.631239179040864
128,AON,0.7906089582158317,0.00028747534613106514,0.00036243127409742637,0.027458274292481218,0.12690871329279974,0.0575927088667514,0.0576128896360498,5.870650268395585
129,MRNA,0.5231060635522558,0.002298053821182432,0.0016587157711247648,0.11441717337271726,0.26417039925161223,0.03881400566136836,0.03897532903961537,4.6139735427598465
130,ITW,0.9790966520423008,-1.1353579842078206e-06,0.0003192393834846936,0.02418599934157162,0.06604949730985465,0.07082454497336953,0.07082446527123903,2.111486123722698
131,DG,0.5900652457470138,0.0007575942715570352,0.0004172706353332643,0.031612977074651515,0.2418788638768583,0.04351454025144038,0.04356772336930368,12.695077887023377
132,OXY,1.4988956206129316,-0.0005260008827761009,0.0010172421469877466,0.07706761499382538,-0.2231200639689629,0.10731443256702781,0.10727750730505693,-6.153306435215371
133,PXD,1.27847189196364,-5.575993262985508e-05,0.0007217893459498251,0.05468371870456544,-0.009449776045807545,0.09184068681584755,0.09183677246857692,-1.281411765688987
134,PSA,0.5580242488921479,0.0003276221888854524,0.0003740150886228737,0.028335879453308097,0.11745566040852085,0.04126526227222879,0.04128826134988854,5.7832848149298774
135,BSX,1.003063522599608,-7.028036565499599e-05,0.0003923860437708314,0.029727687394616974,0.04009796050284642,0.0725070192864925,0.0725020856048235,0.5365881034369587
136,APD,0.9382696717359154,0.00015090549777234586,0.00033090566911786484,0.025069852622963497,0.10335251392631717,0.06795849095586128,0.06796908452180489,4.3145098663777
137,ICE,0.8140114283892139,0.00011961016322163039,0.0003223740254422331,0.02442348397612251,0.0867458454913308,0.05923556227292283,0.05924395890638099,3.6327044645205424
138,HCA,1.0699535429086773,0.00039493257477445364,0.000553813683673839,0.04195765961730421,0.14487205290713412,0.07720269871218917,0.07723042297893831,4.76127009875322
139,MET,1.2390489931190167,-0.00013655530387971426,0.00040974219954827644,0.03104261278891948,0.033458508660396236,0.089073199316955,0.08906361313462265,0.16735776005291245
140,SLB,1.2457229310942681,-0.0009163225359704312,0.0007136917438423301,0.05407023362292427,-0.19703534509974285,0.08954170976281764,0.0894773839207925,-7.522703018003111
141,ETN,1.1263006399296507,0.00017786708035902795,0.0003469637701096445,0.026286435664111655,0.12158536388908292,0.0811582649230615,0.0811707511921027,4.759801833023785
142,KDP,0.5221632669278443,0.0006399546314204405,0.0004268756584652312,0.03234066637353988,0.19837247174749328,0.03874782133833468,0.03879274615346039,10.144925252161682
143,MCO,1.1677775581128,0.00025874956127412344,0.00033003102464124103,0.02500358839671164,0.14873870133957712,0.08406994457951858,0.08408810879872002,6.149939175986765
144,CNC,0.9602449502209529,0.00025359250977275235,0.0005454584873496049,0.04132465885596075,0.10082498625901071,0.0695011555055109,0.06951895769969696,3.0740767784109893
145,MNST,0.8857507937403624,0.00011117435345191363,0.00038498831099316276,0.029167225342169756,0.08203718352955658,0.06427166572057345,0.06427947016018577,2.908659345106025
146,NEM,0.28417774522201894,0.00016984773472749782,0.0005651744040594583,0.04281836287003914,0.019975248021173453,0.022041237714585733,0.022053161025563605,-0.4823593375778449
147,AEP,0.49759525229712,0.00020156060091304387,0.0003563355882130967,0.02699645704056345,0.07970059636061322,0.03702314671125783,0.03703729626544193,3.5073367605526657
148,GM,1.2405036111932102,-0.0003966677802159378,0.0005586080541176745,0.04232088748453073,-0.05346359568814174,0.08917531350576337,0.0891474674275922,-3.2425373642710054
149,KLAC,1.549428995484681,0.0006336283682203285,0.0005154253355877732,0.03904930742278832,0.2527624063318996,0.11086187548302462,0.11090635619447368,8.134908917108397
150,EMR,1.1175497643965813,-4.5388319685172695e-05,0.00038468767114228155,0.029144448468100857,0.05406216418147425,0.08054395346064003,0.08054076720059812,1.208485026879204
151,SRE,0.7464422394969874,7.814677108615953e-05,0.0004048212803701121,0.030669797421642855,0.060056180846926654,0.05449220521268853,0.05449769111601877,1.7392863338912141
152,MCK,0.8257502520096124,0.0003265048224003063,0.0004481899836765677,0.03395546793686937,0.12874771692305265,0.060059627691074806,0.0600825483296073,5.138955574321194
153,SNPS,1.171215182653757,0.0007721331740031168,0.00038381072975241415,0.029078010224653533,0.29969681253678804,0.08431126582229376,0.08436546957110877,13.113546558403007
154,KHC,0.706165388398258,-0.0007852628846459486,0.0005170066539071181,0.039169110197160996,-0.16533888908242134,0.05166477026555773,0.05160964481105558,-9.497047359494537
155,LHX,0.7256784501064565,0.00034441066124585784,0.00043158200053369246,0.032697225094229405,0.12834667147792378,0.05303458719747326,0.05305876482589271,5.463217316420785
156,STZ,0.7944620155587431,-9.037982259281e-05,0.00042265502884145827,0.03202090587222791,0.01722377671054609,0.057863193492223776,0.05785684882867776,-0.6881324948961794
157,MPC,1.3913901784582978,-3.113612656288857e-05,0.000664641546938669,0.050354125613109174,0.020935838118703032,0.09976755052777253,0.0997653647716878,-0.29691756921600637
158,HSY,0.5768572938054607,0.0004622468421813696,0.00035783122341184075,0.02710976834801305,0.15954826512846498,0.04258734202514335,0.04261979175346448,8.775900551055646
159,F,1.1315595199442527,-5.166687421498326e-05,0.0005745487822400746,0.043528578201334246,0.024654699036094296,0.08152743830008656,0.08152381128551667,-0.20385253737979098
160,KMB,0.4409307441467976,1.9602036069209502e-05,0.00037410783063589404,0.02834290571128843,0.024464270574316993,0.033045298239105195,0.033046674302037254,-0.36867976401502245
161,MAR,1.0989305191152923,-9.300674528075997e-05,0.0005611505424474798,0.042513509774423024,0.014285770742595627,0.07923688244189353,0.07923035336837482,-0.6305802149851079
162,GIS,0.3692021425090863,0.0002267655777480176,0.0004033934624984637,0.03056162404489146,0.0686707978029375,0.02800995040413786,0.028025869347695773,2.574785115633491
163,VLO,1.2425165233649897,2.8843371086530687e-05,0.0006818225667010883,0.051655782470497895,0.02888159880909047,0.0893166199402223,0.08931864474487257,-0.03146323897050815
164,FCX,1.5574434135137125,-4.3807554815305876e-05,0.0007235201998783981,0.05481485049513547,0.013317712206277088,0.11142448762866264,0.11142141233831461,-0.5017624477189389
165,ECL,1.0089356740051407,-0.00019132000069694918,0.0003396816239728696,0.02573473060896858,0.015877020200795178,0.07291924431516089,0.07290581365111196,-0.7759469556188326
166,ADM,0.8244060197673714,0.0003016519755078294,0.00036099249260723894,0.02734927029743997,0.13392257144837716,0.05996526258766949,0.059986438556350136,6.202478389224676
167,EXC,0.8299402192877273,0.00019348635023515214,0.00036811557757411876,0.0278889246672686,0.10293582298145032,0.06035376339399847,0.060367346135784976,4.295260438187067
168,SYY,1.0827552626898145,5.2901270224378885e-05,0.0005277742326923791,0.039984876255120226,0.0559887954751237,0.078101379440825,0.07810509310999475,1.1130910450227745
169,ORLY,0.8299660572166233,0.0006445601948142423,0.0004325010258554634,0.032766851672205506,0.22514373777286378,0.06035557721660697,0.06040082534228292,10.373454408696308
170,O,0.8894435863591776,1.4960595856585287e-05,0.0004560589330919512,0.03455162998712109,0.04336944073762283,0.06453089976241429,0.06453194999624341,0.6795972125201702
171,AZO,0.759597339393292,0.0008042040944023844,0.00044462412984223816,0.033685314118290254,0.2665653280692972,0.05541569322540911,0.055472148352836155,12.683122170317528
