Date,AAPL,AMD,AMZN,BND,CRWD,DFAC,DFAS,DFUS,ESS,GS,JPM,LOW,MSFT,VEA,VGK,VOO,VWOB,SP50
2022-03-07,,,,,-2.7443376372625146,,,,,,,,,,-4.322911424491429,,-4.874426644425135,
2022-03-14,-2.8170574717569377,-2.4312384023222466,-2.2250292342925047,,-2.3865187816724935,-2.8278515952078904,-3.0064156429678146,-2.743148657725306,-4.097985479070268,-2.8786968889594937,-2.442152288566577,-2.8039015133741394,-2.6214692625359515,-2.6850618443793564,-2.509839924182699,-2.789510242661927,-3.88178205159732,-2.787771054357383
2022-03-21,-2.7257694014323857,-2.9052895953117956,-3.8236475996727832,,-2.7066573750841494,-4.926525354398719,,-4.2810168441697565,,,-4.343526739728355,,-4.52655535029976,,,-4.18651787499084,,-4.022327757957016
2022-03-28,,,,-5.1644271060057685,-3.6274982148785577,,,-6.06603550353767,-3.3492714323484,,,,-3.9685113437694826,-4.886640635832075,-4.060961862128461,-5.559598370386255,-4.0063134937299685,-7.3918064254174265
2022-04-04,,,,,,,,,-7.902445040697372,,,-3.860974271404818,,,,,,
2022-04-11,,,,,-2.5516568491605707,,-4.645693781825061,,,-7.158966560482295,,,,,,,,
2022-04-18,,,,,,,,,-4.0499375516925555,,-5.208305343632883,,,,,,,
2022-04-25,,,,,,,,,,,,-4.898221836552771,-4.363340992481882,,,,,
2022-05-02,,-2.164329136174179,,,,-6.742537348529941,,,,-3.7110221926356806,-3.3096724506204938,,,,,,,
2022-05-09,,,,-4.506186996351479,,,,,,,,-4.7225073175022,,,,,-5.393857500052622,
2022-05-16,,,,-5.29754386744245,,,,,,,,,,-4.390094311037147,-4.407069940464527,,-5.769846220271377,
2022-05-23,-2.435213308629081,-2.367765287484445,-2.6560617588543347,-4.558078658740538,-2.1073933959672955,-2.712595475057068,-2.7506698670103207,-2.7071016713974503,-3.7520627007950984,-2.6452038646827103,-2.1310302802428662,-2.5146364139880313,-2.4721724141738086,-3.297650066537704,-3.0623100727346744,-2.711744024573084,-3.7253076706418913,-2.7204709728200243
2022-05-30,,-3.2312736919533296,-2.7716383694549434,,,,,,,,,,,,,,,
2022-06-06,,,,,-3.1113583444172335,,,,,,,,,,,,,
2022-06-13,,,,,,,,,,,,,,,,,,
2022-06-20,-2.5669269746079886,-2.6948965327058376,-2.3392110154913843,-5.021985376186414,-2.0504569041537124,-2.9779033533513846,-3.0985177570314724,-2.815258867660102,-3.8173781194160137,-2.50028615303332,-3.2713657856681873,-2.8113067639992066,-2.51378636739212,-3.9836022109904907,-4.090967625846843,-2.7295864842793995,-4.96414409455021,-2.741627198262015
2022-06-27,,,,-4.443060996454232,,,,,-3.9538050097960538,,,,,,,,,
2022-07-04,-2.8408722130555475,-2.5626443493787106,-2.9080511927886237,,-2.7791368754850483,-4.152531392066947,-4.594299322582984,-3.86828908728238,,,-5.907821258202289,-3.7265667409330048,-3.4696709009204802,,,-3.7412426896521853,,-3.944662134337717
2022-07-11,-3.8496700483924,-3.8085534049260525,,-4.702082885159917,,,,,-4.643631034218964,,,-3.9870603821872055,,,,,,
2022-07-15,-inf,-inf,-inf,-inf,-3.512849933121503,-3.923265936708472,-3.873515330902419,-3.9571400963811385,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4.698969457276524,-inf
